id_city;city;id_province
446;San Vicente;23
447;Sanagasta;10
448;Santa Bárbara;21
449;Santa Catalina;21
450;Santa Lucía;3
451;Santa María;8
452;Santa María;11
453;Santa Rosa;9
454;Santa Rosa;11
455;Santa Victoria;18
456;Santo Tomé;14
457;Sargento Cabral;19
458;Sarmiento;3
459;Sarmiento;7
460;Sarmiento;13
461;Sauce;14
462;Silípica;13
463;Simoca;16
464;Sobremonte;8
465;Suipacha;23
466;Susques;21
467;Tafí del Valle;16
468;Tafí Viejo;16
469;Tala;4
470;Tandil;23
471;Tapalqué;23
472;Tapenagá;19
473;Tehuelches;7
474;Telsen;7
475;Tercero Arriba;8
476;Tigre;23
477;Tilcara;21
478;Tinogasta;11
479;Toay;12
480;Tolhuin;24
481;Tordillo;23
482;Tornquist;23
483;Totoral;8
484;Trancas;16
485;Trenel;12
486;Trenque Lauquen;23
487;Tres Arroyos;23
488;Tres de Febrero;23
489;Tres Lomas;23
490;Tulumba;8
491;Tumbaya;21
492;Tunuyán;9
493;Tupungato;9
494;Ullum;3
495;Unión;8
496;Uruguay;4
497;Ushuaia;24
498;Utracán;12
499;Valcheta;6
500;Valle Fértil;3
501;Valle Grande;21
502;Valle Viejo;11
503;Vera;15
504;Vicente López;23
505;Victoria;4
506;Villa Constitución;15
507;Villa Gesell;23
508;Villaguay;4
509;Villarino;23
510;Vinchina;10
511;Yaví;21
512;Yerba Buena;16
513;Zapala;17
514;Zárate;23
515;Zonda;3
